id,pred
1-1,0.445
10-1,0.163
10-11,0.53
10-2,0.828
10-4,0.256
10-5,0.616
100-1,0.223
1000-2,0.162
1000-3,0.067
1000-4,0.182
1000-5,0.198
1001-10,0.243
1001-11,0.379
1001-4,0.171
1001-7,0.051
1002-3,0.306
1003-12,0.376
1003-13,0.121
1003-15,0.232
1003-18,0.142
1003-2,0.109
1003-3,0.231
1003-6,0.206
1006-6,0.127
1007-1,0.426
1007-4,0.13
1008-4,0.201
1008-6,0.237
1009-6,0.235
101-1,0.312
1010-3,0.445
1010-6,0.271
1011-4,0.239
1012-2,0.169
1014-1,0.177
1014-3,0.121
1016-3,0.272
1016-4,0.151
1017-6,0.11
1018-1,0.381
1019-5,0.175
1019-7,0.188
102-2,0.588
1020-1,0.206
1020-2,0.072
1021-10,0.666
1021-4,0.157
1021-9,0.309
1022-10,0.133
1022-11,0.194
1022-14,0.359
1022-3,0.439
1022-5,0.185
1022-8,0.374
1023-1,0.219
1023-5,0.244
1023-6,0.186
1023-8,0.43
1023-9,0.051
1024-10,0.676
1024-3,0.212
1024-5,0.055
1025-2,0.477
1025-3,0.151
1025-4,0.07
1026-1,0.081
1026-2,0.181
1026-6,0.315
1026-8,0.588
1027-3,0.274
1027-4,0.513
1027-6,0.285
1028-10,0.249
1028-5,0.568
1028-7,0.128
1028-8,0.236
1028-9,0.548
1029-1,0.195
1029-6,0.22
1029-7,0.299
103-3,0.285
1030-11,0.121
1030-7,0.384
1031-2,0.205
1031-4,0.951
1031-5,0.734
1032-1,0.231
1032-2,0.333
1032-4,0.352
1033-11,0.066
1033-12,0.198
1033-2,0.206
1033-5,0.099
1034-1,0.279
1036-5,0.167
1037-2,0.189
1038-10,0.085
1038-15,0.066
1038-17,0.182
1038-2,0.096
1038-5,0.106
1038-7,0.117
1038-9,0.247
1039-2,0.471
1040-3,0.691
1042-3,0.234
1042-7,0.136
1044-2,0.054
1045-5,0.297
1046-10,0.178
1046-11,0.151
1046-6,0.244
1049-1,0.106
105-3,0.205
105-4,0.523
1050-3,0.109
1051-4,0.465
1051-5,0.684
1052-1,0.208
1052-2,0.43
1052-4,0.307
1053-1,0.241
1053-3,0.368
1055-1,0.48
1056-13,0.16
1056-6,0.099
1056-9,0.217
1057-5,0.146
1058-1,0.224
1058-11,0.207
1058-13,0.235
1058-18,0.049
1058-2,0.26
1058-5,0.051
1058-9,0.463
106-3,0.19
106-4,0.246
1060-1,0.111
1060-11,0.14
1060-21,0.11
1060-24,0.265
1060-7,0.176
1060-8,0.142
1061-3,0.21
1061-6,0.358
1062-1,0.434
1062-6,0.415
1062-9,0.296
1063-1,0.364
1063-4,0.229
1063-5,0.147
1064-1,0.642
1064-5,0.137
1066-5,0.108
1067-1,0.339
1069-1,0.105
1070-4,0.135
1070-5,0.113
1072-1,0.183
1072-6,0.144
1073-2,0.129
1073-3,0.046
1073-5,0.246
1073-8,0.159
1074-5,0.254
1074-6,0.113
1074-8,0.204
1074-9,0.732
1075-2,0.315
1077-12,0.18
1077-13,0.303
1077-14,0.123
1077-15,0.196
1077-17,0.056
1077-19,0.115
1077-3,0.1
1077-6,0.414
1079-2,0.082
1079-3,0.151
1079-4,0.578
1081-4,0.612
1083-3,0.108
1084-1,0.113
1084-3,0.112
1084-6,0.152
1086-2,0.331
1087-1,0.104
1087-2,0.046
1088-1,0.279
1089-2,0.38
109-2,0.373
1090-1,0.071
1090-10,0.129
1090-11,0.463
1090-17,0.235
1090-7,0.498
1091-2,0.131
1092-4,0.151
1093-4,0.085
1094-4,0.113
1094-6,0.135
1094-8,0.404
1095-11,0.114
1095-12,0.191
1095-15,0.172
1095-5,0.251
1095-6,0.817
1095-8,0.132
1096-3,0.159
1096-4,0.171
1097-1,0.313
1097-10,0.102
1097-12,0.231
1097-16,0.064
1097-17,0.408
1097-18,0.285
1097-19,0.296
1097-2,0.225
1097-21,0.05
1097-22,0.301
1097-5,0.12
1097-6,0.532
1097-8,0.185
1098-3,0.116
1098-5,0.523
1098-6,0.334
1098-7,0.179
1099-2,0.489
1099-4,0.504
1099-5,0.317
1099-8,0.356
11-1,0.106
1100-2,0.182
1100-3,0.328
1101-10,0.24
1101-11,0.495
1101-5,0.126
1102-1,0.295
1102-2,0.363
1102-3,0.152
1102-4,0.194
1103-1,0.326
1103-11,0.27
1103-2,0.509
1103-4,0.205
1103-6,0.204
1103-8,0.205
1104-5,0.33
1105-2,0.035
1105-5,0.561
1106-6,0.376
1106-8,0.14
1107-1,0.155
1109-1,0.48
1109-2,0.555
1109-3,0.115
111-5,0.127
111-9,0.395
1110-1,0.228
1110-2,0.205
1111-3,0.259
1112-2,0.031
1112-3,0.746
1112-5,0.262
1116-1,0.148
1116-2,0.342
1116-3,0.178
1117-2,0.05
1117-3,0.114
1118-1,0.221
1118-4,0.291
1118-7,0.426
1119-10,0.11
1119-13,0.623
1119-15,0.077
1119-19,0.977
1119-2,0.108
1119-20,0.353
1119-4,0.13
1119-6,0.155
1119-7,0.08
112-1,0.096
112-12,0.726
112-6,0.322
112-8,0.6
1120-10,0.327
1120-4,0.433
1120-5,0.124
1120-6,0.089
1120-7,0.179
1120-8,0.184
1121-1,0.579
1122-2,0.072
1126-10,0.179
1126-12,0.516
1126-15,0.388
1126-22,0.213
1126-5,0.341
1126-7,0.6
1127-3,0.427
1127-6,0.206
1127-7,0.437
1128-2,0.091
1128-4,0.224
113-1,0.188
1130-1,0.587
1130-2,0.061
1131-1,0.207
1132-1,0.224
1132-10,0.171
1132-11,0.641
1132-12,0.127
1132-13,0.142
1132-15,0.218
1132-16,0.058
1132-17,0.578
1132-18,0.445
1132-4,0.086
1133-2,0.287
1134-1,0.178
1134-2,0.148
1134-5,0.462
1136-1,0.356
1136-3,0.695
1136-4,0.123
1136-7,0.159
1137-10,0.274
1137-13,0.216
1137-2,0.027
1137-3,0.46
1138-1,0.092
1138-5,0.292
1138-8,0.131
1139-5,0.82
1139-7,0.431
114-1,0.69
1140-4,0.063
1141-2,0.354
1141-8,0.096
1142-5,0.266
1143-1,0.323
1143-10,0.087
1143-9,0.51
1144-2,0.353
1147-10,0.112
1147-2,0.226
1147-9,0.237
1149-1,0.597
1149-11,0.454
1149-13,0.237
1149-15,0.275
1149-17,0.203
1149-3,0.153
1149-4,0.251
1149-6,0.091
1150-1,0.116
1150-6,0.201
1151-4,0.209
1152-2,0.181
1153-10,0.264
1153-14,0.064
1153-18,0.109
1153-26,0.192
1153-28,0.292
1153-3,0.225
1153-8,0.128
1153-9,0.247
1154-3,0.281
1155-2,0.164
1156-1,0.29
1156-10,0.473
1156-12,0.115
1156-4,0.053
1156-5,0.266
1157-3,0.397
1157-7,0.676
1158-11,0.63
1158-2,0.212
1158-3,0.413
1158-5,0.577
1158-6,0.133
1158-9,0.229
1159-4,0.547
1159-6,0.232
116-3,0.184
1160-1,0.243
1161-1,0.144
1161-3,0.072
1161-6,0.21
1161-7,0.818
1162-3,0.815
1162-4,0.164
1163-2,0.142
1164-1,0.826
1164-2,0.434
1164-3,0.601
1165-11,0.361
1165-12,0.149
1165-2,0.202
1165-4,0.357
1169-3,0.31
117-7,0.533
117-8,0.312
1170-1,0.218
1171-2,0.335
1171-4,0.537
1171-6,0.418
1171-8,0.205
1174-1,0.371
1174-5,0.077
1175-5,0.335
1176-1,0.13
1177-1,0.061
1177-6,0.258
1177-7,0.294
1178-3,0.791
1178-4,0.354
1180-5,0.1
1182-5,0.408
1183-4,0.338
1184-3,0.098
1184-7,0.175
1184-8,0.141
1185-3,0.089
1185-5,0.249
1186-2,0.082
1186-6,0.106
1187-10,0.464
1187-2,0.379
1187-5,0.103
1187-6,0.089
119-1,0.159
1192-2,0.338
1192-3,0.589
1192-4,0.62
1193-3,0.28
1193-9,0.557
1194-1,0.032
1194-7,0.38
1195-1,0.054
1195-4,0.196
1196-3,0.359
1196-4,0.454
1197-6,0.236
1198-1,0.127
1198-2,0.231
1198-4,0.288
1198-6,0.322
1199-1,0.733
1199-3,0.306
12-1,0.084
12-5,0.391
120-2,0.09
1200-14,0.394
1200-16,0.589
1200-2,0.093
1200-6,0.111
1200-8,0.384
1201-3,0.243
1201-7,0.172
1202-11,0.167
1202-23,0.177
1202-3,0.199
1202-4,0.121
1202-9,0.17
1203-11,0.099
1203-3,0.113
1203-4,0.144
1205-1,0.383
1205-10,0.176
1205-2,0.798
1205-3,0.183
1205-5,0.215
1205-7,0.581
1206-1,0.254
1206-4,0.219
1206-6,0.156
1209-3,0.448
1209-4,0.535
1210-2,0.145
1210-3,0.049
1210-6,0.785
1210-7,0.035
1211-2,0.359
1211-7,0.385
1212-1,0.129
1212-5,0.432
1213-9,0.67
1217-3,0.08
1218-4,0.59
1221-2,0.111
1221-3,0.064
1222-1,0.09
1223-1,0.595
1223-2,0.24
1223-3,0.153
1224-1,0.199
1224-11,0.077
1224-15,0.132
1224-17,0.105
1224-2,0.076
1224-4,0.297
1224-8,0.515
1225-3,0.057
1225-5,0.099
1226-1,0.667
1226-2,0.427
1227-2,0.06
1227-6,0.097
1228-1,0.754
1228-2,0.793
1228-3,0.155
1228-4,0.172
1229-10,0.134
1229-5,0.048
1229-8,0.122
1230-2,0.08
1231-3,0.715
1231-7,0.316
1231-9,0.072
1232-3,0.282
1232-4,0.383
1232-5,0.088
1232-7,0.295
1234-3,0.23
1235-2,0.797
1236-2,0.214
1237-1,0.762
1238-2,0.492
1238-3,0.21
1238-7,0.143
1239-1,0.204
1239-2,0.252
124-2,0.188
1240-6,0.178
1241-1,0.244
1241-7,0.287
1242-5,0.052
1242-6,0.071
1244-1,0.406
1244-10,0.222
1244-2,0.118
1244-5,0.048
1245-2,0.183
1246-1,0.167
1246-3,0.325
1246-4,0.219
1246-6,0.14
125-2,0.287
125-3,0.105
125-7,0.489
1250-3,0.129
1250-4,0.76
1251-4,0.263
1251-6,0.204
1252-1,0.221
1253-2,0.169
1253-3,0.171
1253-4,0.06
1253-7,0.15
1254-10,0.111
1254-2,0.511
1254-4,0.843
1254-8,0.13
1255-1,0.454
1255-3,0.412
1255-4,0.189
1256-2,0.098
1256-4,0.291
1256-7,0.391
1256-9,0.492
1258-1,0.666
1258-2,0.189
1258-4,0.429
126-1,0.73
1260-1,0.026
1260-2,0.14
1260-3,0.141
1261-2,0.06
1261-3,0.069
1262-4,0.13
1262-5,0.124
1262-6,0.224
1263-2,0.458
1263-4,0.067
1263-6,0.481
1264-8,0.319
1265-4,0.204
1265-6,0.589
1265-9,0.217
1266-1,0.164
1266-3,0.048
1266-8,0.132
1267-11,0.168
1267-12,0.164
1268-2,0.339
1268-3,0.132
1268-7,0.423
1268-9,0.616
1269-1,0.155
1269-2,0.052
1269-3,0.088
1270-2,0.297
1270-3,0.093
1271-1,0.18
1271-12,0.122
1271-4,0.229
1271-5,0.446
1271-6,0.065
1271-7,0.329
1271-9,0.578
1272-4,0.078
1273-4,0.172
1274-1,0.084
1274-4,0.225
1276-1,0.565
1276-2,0.201
1276-3,0.057
1277-2,0.752
1278-2,0.63
1278-4,0.249
1279-2,0.122
1279-5,0.3
1279-7,0.216
1280-1,0.142
1281-5,0.589
1281-7,0.253
1281-9,0.232
1282-10,0.157
1282-5,0.199
1284-1,0.506
1285-2,0.34
1285-7,0.03
1285-8,0.273
1286-1,0.093
1287-11,0.158
1287-13,0.265
1287-15,0.212
1287-4,0.134
1287-9,0.122
1288-4,0.382
1289-11,0.285
1289-7,0.221
1289-8,0.265
1290-10,0.131
1290-11,0.213
1290-12,0.134
1290-2,0.161
1290-7,0.154
1291-2,0.095
1292-1,0.341
1292-3,0.09
1292-5,0.099
1292-7,0.394
1292-8,0.067
1293-3,0.569
1294-2,0.167
1294-8,0.527
1296-3,0.208
1297-1,0.2
1297-13,0.207
1297-5,0.166
1298-1,0.22
1298-3,0.395
1299-1,0.189
130-1,0.124
1300-6,0.646
1301-12,0.12
1301-2,0.313
1301-3,0.484
1302-3,0.036
1302-5,0.176
1303-10,0.329
1303-12,0.343
1303-16,0.221
1304-3,0.257
1304-4,0.272
1305-2,0.177
1306-1,0.386
131-1,0.32
131-2,0.254
1312-1,0.127
1312-7,0.106
1313-1,0.111
1313-10,0.158
1313-12,0.237
1313-4,0.567
1313-9,0.207
1314-1,0.147
1314-2,0.424
1314-3,0.061
1314-5,0.11
1316-2,0.05
1317-1,0.291
1317-11,0.443
1317-15,0.251
1317-16,0.241
1317-17,0.109
1317-2,0.258
1317-3,0.514
1317-4,0.11
1317-8,0.182
1318-1,0.213
1318-15,0.174
1318-17,0.354
1318-18,0.363
1318-3,0.311
1318-5,0.073
1319-2,0.12
1319-3,0.164
1319-7,0.086
1319-8,0.281
1320-1,0.102
1320-5,0.081
1321-2,0.558
1321-3,0.225
1323-1,0.308
1323-2,0.155
1324-13,0.621
1324-16,0.26
1324-17,0.037
1324-2,0.19
1324-7,0.314
1324-8,0.044
1326-1,0.278
1326-3,0.38
1327-3,0.223
1328-3,0.367
1329-11,0.747
133-1,0.373
133-2,0.054
1330-2,0.662
1330-5,0.184
1330-6,0.276
1331-3,0.666
1332-11,0.032
1332-4,0.182
1332-7,0.271
1333-10,0.145
1333-11,0.136
1333-2,0.272
1334-3,0.144
1335-2,0.117
1336-1,0.321
1336-2,0.205
1337-4,0.285
1338-1,0.539
1339-1,0.395
1340-3,0.109
1341-1,0.14
1341-5,0.183
1342-1,0.234
1342-2,0.279
1342-3,0.236
1343-1,0.056
1343-4,0.068
1343-5,0.271
1344-1,0.134
1344-7,0.189
1345-1,0.425
1345-14,0.112
1345-8,0.315
1346-1,0.752
1346-10,0.257
1346-11,0.085
1346-2,0.173
1346-6,0.337
1346-7,0.148
1346-8,0.072
1347-2,0.208
1347-5,0.091
1349-1,0.047
1349-12,0.126
1349-16,0.349
1349-6,0.118
1349-8,0.105
1349-9,0.178
135-4,0.103
1350-1,0.291
1350-6,0.314
1351-11,0.194
1351-2,0.207
1351-5,0.241
1352-1,0.333
1352-3,0.473
1353-5,0.279
1354-1,0.398
1354-10,0.111
1354-12,0.157
1354-14,0.12
1354-5,0.739
1354-6,0.211
1354-9,0.191
1355-2,0.362
1355-3,0.21
1356-2,0.106
1356-5,0.092
1357-4,0.228
1358-7,0.147
1359-3,0.063
1359-6,0.321
1360-2,0.192
1360-9,0.169
1361-1,0.241
1361-4,0.158
1364-11,0.154
1364-3,0.681
1364-5,0.28
1364-7,0.299
1365-1,0.139
1365-6,0.403
1366-1,0.479
1366-2,0.173
1367-14,0.184
1367-16,0.23
1367-17,0.181
1367-2,0.122
1367-3,0.308
1367-6,0.354
1367-7,0.099
1368-1,0.413
1368-2,0.435
1368-3,0.191
1368-4,0.177
1368-5,0.229
1372-5,0.712
1373-1,0.548
1373-2,0.1
1373-6,0.104
1375-3,0.112
1376-1,0.5
1376-17,0.309
1376-18,0.441
1376-3,0.244
1377-1,0.143
1377-2,0.323
1377-4,0.182
1377-6,0.128
1377-8,0.636
1378-4,0.55
138-1,0.358
138-7,0.276
1380-3,0.142
1381-10,0.084
1381-3,0.252
1381-6,0.261
1382-7,0.062
1384-1,0.635
1384-13,0.601
1384-18,0.09
1384-3,0.105
1384-7,0.274
1384-8,0.093
1384-9,0.21
1385-1,0.437
1385-14,0.148
